State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Others_Religions,ST,SC,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_ratio,Literate_Ratio,Working_Ratio,Age_Below_50,Age_Above_50
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,5260193,660772,3920,856952,158115,815423,1252452,55694,787.45,75.17,41.99,87.22,11.9
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,1620282,109681,128,21453,179461,77857,302068,2975,930.14,62.27,41.2,83.86,15.98
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,203545,3593,560,216073,992,2029,29794,137,1005.7,61.75,51.8,86.69,13.15
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,3713941,384579,1124,1149901,221629,411734,798277,53606,934.14,69.45,40.65,81.7,17.61
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,1571147,94034,1417,902794,38237,137209,329218,11020,922.49,68.63,43.57,83.86,15.24
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,955096,22143,110,0,296246,121622,199681,12899,884.66,72.5,32.98,82.07,17.87
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,1611031,15515,26,0,341162,88938,266244,5292,885.89,65.46,38.12,83.86,15.99
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,1588407,161680,249,0,223799,258422,333171,43437,873.22,70.33,32.01,87.14,12.77
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,779243,8360,530,0,284357,51693,153301,3210,901.67,59.19,39.18,84.16,15.65
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,1408801,70842,254,0,197937,238359,305751,67087,854.35,73.37,35.97,86.08,13.89
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,1701061,21650,33,0,408785,110495,285004,10132,872.05,63.9,39.66,84.54,15.2
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,945693,8247,22,0,170448,70149,168558,5034,862.18,70.54,34.07,82.96,16.94
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,1276669,23016,56,0,282351,78386,222462,5263,871.17,62.42,39.23,83.93,16.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,974520,8232,70,0,247513,62668,187349,3724,881.43,60.18,34.8,83.4,16.41
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,1341002,31650,49,0,339604,143133,267223,11163,887.05,64.97,34.28,84.06,15.59
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,805175,15970,106,0,215128,90150,171908,7356,887.87,67.06,34.91,83.23,16.61
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,913251,5660,15,0,156314,45359,135455,2624,894.71,68.35,36.72,82.36,17.49
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,490702,23451,90,0,101830,69687,103455,18615,872.98,72.21,37.68,83.05,16.68
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,1083936,86622,99,0,206213,121846,209965,10024,863.53,65.25,34.2,86.1,13.87
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,889133,5713,12,0,182606,62667,152651,5121,898.09,70.75,37.51,83.24,16.72
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,1043887,8185,24,0,216889,94633,193120,8482,866.74,70.45,32.6,82.46,17.5
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,940255,9524,624,0,387381,70538,215527,6287,897.48,60.45,38.76,83.74,16.07
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,479782,32455,14,135500,111690,21458,96082,1615,986.38,62.39,56.65,84.22,15.71
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,449412,3711,9,3044,109256,34978,104120,2521,1095.03,78.74,53.2,76.52,23.45
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1010014,91269,273,474,241198,20175,55929,1196,860.52,59.16,40.18,83.42,16.4
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,449412,3711,9,3044,109256,34978,104120,2521,1095.03,78.74,53.2,76.52,23.45
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,1010014,91269,273,474,241198,20175,55929,1196,860.52,59.16,40.18,83.42,16.4
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,1461140,19797,208,84564,319385,148361,330081,8053,1011.85,76.33,44.71,78.52,21.15
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,64732,448,45,48746,14750,10740,17865,354,818.87,72.16,66.9,81.98,17.92
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,415669,2974,83,16822,122659,40064,91322,2623,942.33,70.26,61.45,83.41,16.51
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,981412,9460,86,12787,293739,59324,214491,5333,1007.32,72.39,57.28,80.38,19.47
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,791449,11810,197,8755,215777,108888,172754,9177,915.14,75.26,52.94,82.02,17.88
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,476830,33215,86,11262,160745,28904,91509,2220,917.76,68.44,52.86,84.38,15.56
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,548579,14678,110,25645,164536,53722,119866,5250,879.55,73.85,51.48,84.21,15.65
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,480138,14275,10,8601,115491,43809,105929,2412,976.45,76.7,41.32,79.74,20.22
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,187621,220614,42,39216,53408,7963,61831,596,918.81,53.44,37.06,87.03,12.87
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,1289240,107489,321,69193,377991,197168,294739,19905,879.97,74.32,33.24,81.88,18.01
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,10341,108239,4,122336,18,3285,15824,235,810.14,61.25,36.84,87.42,12.42
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,540063,64234,2,53307,141224,32772,109422,1443,890.27,63.14,32.51,84.03,15.85
